tree_number	newick
119	(((((1,2)1-2,3)1-3,(4,(5,(6,7)6-7)5-7)4-7)1-7,(8,9,10)8-10)1-10,((((11,12,(13,14)13-14,15,((16,(17,18)17-18)16-18,19)16-19)11-19,20)11-20,21)11-21,22)11-22)1-22;
120	((((1,(2,((3,(4,(5,6)5-6)4-6,(7,8)7-8)3-8,9,10)3-10)2-10,(11,12)11-12)1-12,13)1-13,14,15)1-15,((16,17)16-17,18)16-18,(19,20,(21,22)21-22)19-22)1-22;
121	((1,(((2,3)2-3,4,5)2-5,6)2-6)1-6,(7,((8,9,10)8-10,((11,12)11-12,(((13,(14,15)14-15)13-15,(16,(17,18)17-18,(19,20)19-20)16-20)13-20,21)13-21)11-21,22)8-22)7-22)1-22;
122	(((1,(2,(3,4,(5,6,(7,8)7-8)5-8)3-8,(9,10)9-10)2-10,11)1-11,12)1-12,(13,14)13-14,(((15,16)15-16,(17,18)17-18,19,(20,21)20-21)15-21,22)15-22)1-22;
123	(1,(2,(3,(4,5)4-5,6)3-6,(7,((((8,9)8-9,10,11,12)8-12,13)8-13,(14,(15,16)15-16)14-16,17)8-17)7-17)2-17,18,((19,20)19-20,(21,22)21-22)19-22)1-22;
124	(((((1,2)1-2,3,((((4,(5,6)5-6)4-6,7,8,9,10,11)4-11,12)4-12,(13,14)13-14,15)4-15)1-15,16)1-16,17)1-17,(18,(19,20,21)19-21,22)18-22)1-22;
125	(1,((2,(((3,(4,5)4-5)3-5,6)3-6,7,8,(9,10)9-10,((11,((12,13)12-13,14)12-14)11-14,15,16,17)11-17,18)3-18)2-18,19,20)2-20,21,22)1-22;
126	(1,2,((3,((4,((5,6)5-6,((7,(8,((9,10)9-10,(11,(12,(13,14)13-14)12-14)11-14)9-14)8-14,15)7-15,((16,17)16-17,18)16-18,19)7-19)5-19)4-19,(20,21)20-21)4-21)3-21,22)3-22)1-22;
127	((1,((2,3)2-3,4)2-4)1-4,((((5,6)5-6,((7,(8,9,10)8-10)7-10,11)7-11)5-11,12)5-12,(13,14)13-14)5-14,(((15,16)15-16,17,18,19)15-19,(20,21,22)20-22)15-22)1-22;
128	(1,((2,3,4)2-4,5)2-5,6,(7,(8,(9,((10,11)10-11,12)10-12)9-12,((13,(14,(15,(16,17)16-17)15-17)14-17,18)13-18,((19,20,21)19-21,22)19-22)13-22)8-22)7-22)1-22;
129	((1,((((2,3)2-3,4)2-4,5)2-5,6,(7,8)7-8)2-8)1-8,9,10,((11,(12,(13,14)13-14)12-14)11-14,15)11-15,16,(17,(18,19)18-19,(20,(21,22)21-22)20-22)17-22)1-22;
130	(1,(2,(((3,(4,(5,6,7)5-7)4-7,(((8,9,10,(((11,12)11-12,13)11-13,14)11-14,15,16)8-16,17,18,19)8-19,20)8-20)3-20,21)3-21,22)3-22)2-22)1-22;
131	(1,((2,(((3,4,5)3-5,6)3-6,((((7,8)7-8,9)7-9,10)7-10,(((((11,12)11-12,13)11-13,14)11-14,(15,16)15-16,(17,18)17-18)11-18,(19,20)19-20,21)11-21)7-21)3-21)2-21,22)2-22)1-22;
132	((1,(2,(3,4)3-4,(5,(((6,7,8)6-8,(9,((10,11,12)10-12,13)10-13)9-13,14)6-14,15,16)6-16)5-16,17,18)2-18,(19,20)19-20)1-20,21,22)1-22;
133	((1,(2,((((3,4)3-4,5,6)3-6,7,(((8,9)8-9,(10,11)10-11)8-11,12)8-12)3-12,(13,(14,(15,16)15-16)14-16)13-16,17,18)3-18,19)2-19)1-19,20,21,22)1-22;
134	((((((1,2)1-2,3)1-3,(4,5)4-5)1-5,(((6,7)6-7,8,9)6-9,10,(11,((12,(((13,14)13-14,15)13-15,16)13-16)12-16,17)12-17)11-17)6-17)1-17,18)1-18,(19,(20,21)20-21,22)19-22)1-22;
135	((1,(((2,3)2-3,((((((((4,5)4-5,(((6,7)6-7,8)6-8,9)6-9)4-9,10)4-10,((11,12)11-12,13)11-13)4-13,14)4-14,15,16)4-16,17)4-17,18)4-18)2-18,(19,20)19-20,21)2-21)1-21,22)1-22;
136	((1,2,3,((4,5)4-5,((((6,7,8,9,10)6-10,(11,12,13)11-13)6-13,(14,15)14-15)6-15,(16,((17,18)17-18,(19,(20,21)20-21)19-21)17-21)16-21)6-21)4-21)1-21,22)1-22;
137	(((((1,2,((3,(4,5)4-5,6)3-6,7)3-7,((8,9)8-9,10)8-10,11)1-11,12)1-12,13)1-13,((14,15,16,17)14-17,(18,19,20)18-20)14-20,21)1-21,22)1-22;
138	((1,(2,3)2-3)1-3,4,((5,(((6,7)6-7,(8,((9,(10,11)10-11)9-11,12)9-12,(13,14,15)13-15)8-15)6-15,16)6-16)5-16,17,((18,19)18-19,(20,21)20-21,22)18-22)5-22)1-22;
139	((1,(((2,3)2-3,4)2-4,5)2-5,(((6,(7,8,(9,10,11)9-11)7-11)6-11,(12,13)12-13)6-13,14)6-14,(15,16,17)15-17)1-17,(18,(19,(20,21)20-21)19-21,22)18-22)1-22;
140	(((1,((2,((((3,4)3-4,((5,6,7)5-7,8)5-8)3-8,9)3-9,10)3-10,11)2-11,12,13)2-13)1-13,14)1-14,15,((16,17)16-17,((18,19)18-19,(20,21)20-21,22)18-22)16-22)1-22;
141	((1,(((2,(3,4)3-4)2-4,((5,6)5-6,(7,((8,9)8-9,(10,(((11,12,13)11-13,14)11-14,15)11-15)10-15)8-15)7-15)5-15)2-15,(16,17,(18,(19,20)19-20,21)18-21)16-21)2-21)1-21,22)1-22;
142	(((1,(2,3)2-3)1-3,4)1-4,(5,(6,(((7,(8,(9,((10,11)10-11,12)10-12)9-12)8-12)7-12,(13,(((14,15,16)14-16,17)14-17,(18,(19,20)19-20)18-20,21)14-21)13-21)7-21,22)7-22)6-22)5-22)1-22;
143	(((1,(2,3)2-3)1-3,4)1-4,(((5,(6,7,(8,((9,10,(11,(12,13)12-13)11-13)9-13,14,(15,16)15-16)9-16)8-16,17)6-17)5-17,18)5-18,(19,20)19-20,(21,22)21-22)5-22)1-22;
144	(1,((2,(3,4,5)3-5)2-5,(6,((7,8,9,10,11,(12,13,14)12-14)7-14,((15,16)15-16,17,18)15-18,19,20)7-20)6-20,21,22)2-22)1-22;
145	(1,(((2,3)2-3,4)2-4,(((5,(6,7,((8,(9,(10,11,(12,13,14)12-14)10-14)9-14)8-14,((15,16)15-16,17)15-17)8-17,(18,19)18-19)6-19)5-19,(20,21)20-21)5-21,22)5-22)2-22)1-22;
146	((((1,2)1-2,((((3,(((4,5)4-5,6)4-6,7)4-7)3-7,8,((9,10)9-10,11)9-11)3-11,12)3-12,(13,(14,15)14-15)13-15)3-15)1-15,(16,17)16-17,18)1-18,((19,20)19-20,(21,22)21-22)19-22)1-22;
147	((1,((2,(((3,(4,5)4-5,6,7)3-7,8)3-8,9,(((10,11)10-11,12)10-12,13)10-13)3-13,14)2-14,((15,16)15-16,(17,18)17-18,(19,20)19-20)15-20)2-20,21)1-21,22)1-22;
148	(((1,2)1-2,3)1-3,(4,5,6,(7,8)7-8,((9,((10,11)10-11,(12,13)12-13)10-13)9-13,14)9-14)4-14,(15,((16,17,18,19)16-19,20)16-20,(21,22)21-22)15-22)1-22;
149	(1,(((2,3,(((4,(5,6)5-6,(7,(8,9,10)8-10)7-10,11,(12,(13,14)13-14)12-14,15)4-15,16)4-16,(17,18)17-18)4-18)2-18,19)2-19,20,21,22)2-22)1-22;
150	((((1,((((2,3)2-3,4,5)2-5,(6,((7,(8,9)8-9)7-9,10,11,12)7-12)6-12,13)2-13,14)2-14,15,16)1-16,17)1-17,18)1-18,(19,20)19-20,21,22)1-22;
151	(((1,((2,3)2-3,4,5)2-5,6)1-6,7)1-7,(8,((9,((10,11)10-11,((12,((13,14,15)13-15,16)13-16)12-16,17)12-17,18,19)10-19)9-19,20)9-20,(21,22)21-22)8-22)1-22;
152	(1,(2,(3,(4,5)4-5)3-5,((((6,7)6-7,8)6-8,9,10,((11,12)11-12,(13,14)13-14)11-14)6-14,15)6-15,((16,(((17,(18,19)18-19)17-19,20)17-20,21)17-21)16-21,22)16-22)2-22)1-22;
153	(1,(2,3)2-3,(4,(5,6,(((7,8)7-8,(9,10,11)9-11)7-11,12)7-12,13)5-13,(14,(15,(16,((17,(18,19)18-19)17-19,20)17-20,21)16-21)15-21)14-21,22)4-22)1-22;
154	(1,(((2,(3,(4,5)4-5,6,((7,(((8,9)8-9,10)8-10,((11,12,(13,14)13-14)11-14,15)11-15,16)8-16)7-16,17)7-17)3-17,18)2-18,19)2-19,20,21,22)2-22)1-22;
155	(1,2,(3,((((4,5)4-5,6)4-6,7)4-7,(8,((9,10)9-10,((11,((12,13)12-13,14)12-14)11-14,15)11-15)9-15,16,17)8-17,18)4-18,19,(20,21)20-21,22)3-22)1-22;
156	(1,(2,(3,((4,(5,6,7)5-7,((8,9)8-9,10,11)8-11)4-11,(12,((13,14,15,(16,(17,18)17-18)16-18,19,(20,21)20-21)13-21,22)13-22)12-22)4-22)3-22)2-22)1-22;
157	(1,2,3,((((4,(((((((5,6)5-6,7)5-7,(8,9)8-9)5-9,10)5-10,11)5-11,(12,13)12-13,(((14,15)14-15,16)14-16,17)14-17)5-17,18)5-18)4-18,19)4-19,(20,21)20-21)4-21,22)4-22)1-22;
158	(1,2,3,(((4,5)4-5,(6,7)6-7)4-7,8,(9,((10,11)10-11,(12,(13,(14,(((15,(16,17)16-17)15-17,18)15-18,((19,20)19-20,21)19-21)15-21)14-21,22)13-22)12-22)10-22)9-22)4-22)1-22;
159	(1,(((2,3,((4,5,6)4-6,(7,(8,(9,(10,11)10-11)9-11)8-11)7-11)4-11,(12,13,14)12-14,15)2-15,((16,(17,18)17-18,19)16-19,(20,21)20-21)16-21)2-21,22)2-22)1-22;
160	(((1,2,((3,((4,((5,6,7)5-7,8)5-8,9)4-9,10)4-10)3-10,((((11,12)11-12,13)11-13,14)11-14,15,16)11-16,17,(18,19,20)18-20)3-20)1-20,21)1-21,22)1-22;
161	((((1,(2,(3,4)3-4,5,((6,7,8,9)6-9,10)6-10)2-10)1-10,11)1-11,(12,13)12-13)1-13,14,15,((16,(17,(18,19,20)18-20)17-20,21)16-21,22)16-22)1-22;
162	(((((((1,2,3)1-3,((4,5)4-5,6,7,8,9)4-9)1-9,10)1-10,11)1-11,(((12,13,14)12-14,15)12-15,(16,((17,18)17-18,19)17-19)16-19,20)12-20)1-20,21)1-21,22)1-22;
163	(1,(2,(3,4)3-4,(((5,6)5-6,7)5-7,(8,9,10,11,(12,(13,(14,(15,16)15-16,17)14-17)13-17,18)12-18)8-18,(19,20)19-20)5-20)2-20,(21,22)21-22)1-22;
164	(1,(((2,3,4)2-4,5,6,7,8)2-8,9,(10,11)10-11,12,((13,(14,15)14-15)13-15,((16,17)16-17,18,(19,20)19-20)16-20,(21,22)21-22)13-22)2-22)1-22;
165	((1,2)1-2,(3,4,(5,(((6,(7,(8,9,10)8-10)7-10,(11,12)11-12,13,14,15)6-15,16,17)6-17,18)6-18)5-18,((19,20,21)19-21,22)19-22)3-22)1-22;
166	(1,2,(3,((4,5)4-5,6)4-6,7)3-7,(8,((9,((10,(11,(12,(((13,14)13-14,15)13-15,16)13-16)12-16)11-16)10-16,17)10-17)9-17,(18,19)18-19,20)9-20)8-20,(21,22)21-22)1-22;
167	(1,(2,3,(4,(5,(6,7)6-7)5-7)4-7)2-7,(8,(9,((((10,11)10-11,12)10-12,13)10-13,14)10-14,15)9-15,16,(17,(((18,19)18-19,20,21)18-21,22)18-22)17-22)8-22)1-22;
168	(1,2,((((3,4)3-4,((5,(((6,7)6-7,(8,(9,10)9-10,11,12,(13,14,15)13-15)8-15)6-15,16)6-16)5-16,17)5-17)3-17,((18,19)18-19,20,21)18-21)3-21,22)3-22)1-22;
169	((((1,(2,3,4,5)2-5)1-5,(6,7,8,(9,10,11)9-11,12)6-12,13)1-13,14)1-14,((15,16)15-16,((17,(18,(19,20)19-20)18-20)17-20,21)17-21,22)15-22)1-22;
170	(1,((2,(3,((4,(5,(6,7,8)6-8)5-8)4-8,(9,(10,11,12)10-12,13,14)9-14)4-14)3-14,(((15,16)15-16,((17,18)17-18,(19,20)19-20)17-20)15-20,21)15-21)2-21,22)2-22)1-22;
171	((1,2)1-2,((((3,4)3-4,(5,(6,7)6-7)5-7)3-7,(8,(9,((10,(11,12)11-12)10-12,13)10-13,14)9-14)8-14)3-14,(((15,((16,17)16-17,(18,19)18-19)16-19)15-19,20,21)15-21,22)15-22)3-22)1-22;
172	(1,((2,((((((3,(4,(5,(6,(7,8)7-8)6-8)5-8,9)4-9)3-9,(((10,11)10-11,12)10-12,13)10-13)3-13,(14,15)14-15)3-15,16)3-16,17)3-17,(18,(19,20)19-20)18-20,21)3-21)2-21,22)2-22)1-22;
173	(((1,((2,(3,4)3-4)2-4,5,(6,7,8)6-8,(9,((10,(11,((12,13)12-13,(14,15)14-15)12-15)11-15,(16,17)16-17)10-17,18)10-18)9-18)2-18)1-18,19)1-19,((20,21)20-21,22)20-22)1-22;
174	((((1,(2,((((3,(4,((5,6)5-6,7)5-7)4-7)3-7,8,9)3-9,10)3-10,(11,((12,13)12-13,14)12-14)11-14)3-14,15,(16,(17,18)17-18)16-18)2-18)1-18,19)1-19,(20,21)20-21)1-21,22)1-22;
175	((1,2,(3,4)3-4)1-4,((5,6,7)5-7,((8,(9,10,(11,12)11-12,(13,((14,15)14-15,16,17,(18,19,20)18-20)14-20)13-20)9-20,21)8-21,22)8-22)5-22)1-22;
176	(1,((2,3,4,5)2-5,(((6,(7,8)7-8)6-8,9)6-9,10,((11,12,(13,14,(((15,(16,(17,18)17-18)16-18)15-18,19)15-19,20)15-20)13-20)11-20,21,22)11-22)6-22)2-22)1-22;
177	(1,2,(3,4,5)3-5,6,(7,8)7-8,9,((10,(11,(12,13)12-13)11-13,(14,15,16)14-16,17,((18,19)18-19,20,21)18-21)10-21,22)10-22)1-22;
178	(1,((((2,((3,4)3-4,5)3-5,6)2-6,7)2-7,((8,(9,(10,((11,12)11-12,13)11-13)10-13)9-13)8-13,14)8-14)2-14,(15,16)15-16,(17,18)17-18,(19,20,21,22)19-22)2-22)1-22;
179	((1,2)1-2,((3,((((4,5)4-5,6)4-6,(7,8)7-8)4-8,(9,10,11)9-11)4-11)3-11,(12,13)12-13,14,15)3-15,16,(17,18)17-18,19,(20,(21,22)21-22)20-22)1-22;
180	(1,((2,(3,((((4,5)4-5,6)4-6,(((7,(8,9,10,11,12,13,14)8-14)7-14,(15,((16,17)16-17,18)16-18)15-18)7-18,19,20)7-20)4-20,21)4-21)3-21)2-21,22)2-22)1-22;
181	((((((1,2,3)1-3,(4,5,6,((((7,8)7-8,9)7-9,10)7-10,(11,12)11-12)7-12)4-12)1-12,((13,14)13-14,15)13-15,16)1-16,(17,18,(19,20)19-20)17-20)1-20,21)1-21,22)1-22;
182	(1,(2,(((3,4)3-4,(((5,6)5-6,7)5-7,8)5-8)3-8,(((9,10)9-10,11)9-11,12,(13,14)13-14,15)9-15,(16,(17,18)17-18)16-18)3-18,(19,(20,21)20-21,22)19-22)2-22)1-22;
183	(1,(((2,(3,4)3-4)2-4,((5,(6,7)6-7)5-7,8)5-8)2-8,(9,((10,(11,12,(13,14,(15,16)15-16)13-16)11-16)10-16,(((17,(18,19)18-19)17-19,20)17-20,21)17-21)10-21,22)9-22)2-22)1-22;
184	(1,(2,((((3,4,((5,6)5-6,((7,8)7-8,9)7-9)5-9)3-9,10,(11,(12,13,14)12-14)11-14)3-14,15,16)3-16,((17,18,19,20)17-20,21)17-21)3-21,22)2-22)1-22;
185	((((1,2)1-2,3)1-3,(((4,5)4-5,6,(7,8,(9,10)9-10,((11,12,13)11-13,14)11-14)7-14)4-14,(15,16,17)15-17,(18,19)18-19)4-19)1-19,(20,21,22)20-22)1-22;
186	((((1,(2,3)2-3)1-3,(4,(((5,6)5-6,7)5-7,(8,(9,10)9-10)8-10)5-10)4-10,11,(12,13)12-13)1-13,(14,15)14-15,(16,17,18)16-18)1-18,(19,20,(21,22)21-22)19-22)1-22;
187	(((1,(2,3,(((4,5)4-5,6)4-6,(7,8)7-8,9,10)4-10)2-10)1-10,((11,12)11-12,((13,(14,15)14-15)13-15,(16,(17,(18,19)18-19)17-19)16-19,(20,21)20-21)13-21)11-21)1-21,22)1-22;
188	((1,((2,((3,(4,5)4-5,(6,7)6-7,8)3-8,9,(10,11)10-11,12)3-12)2-12,13)2-13)1-13,((14,((((15,16)15-16,17,18)15-18,19)15-19,20)15-20,21)14-21,22)14-22)1-22;
189	((((((1,2)1-2,3,4)1-4,5,((6,7)6-7,8)6-8)1-8,(9,10)9-10)1-10,11,12)1-12,13,14,((15,16)15-16,17)15-17,((18,19)18-19,(20,21)20-21,22)18-22)1-22;
190	(1,((((2,3)2-3,4)2-4,(((5,6)5-6,7)5-7,8)5-8,(9,10)9-10,(11,12)11-12)2-12,(13,14,15,16)13-16,((17,(18,19)18-19)17-19,20)17-20)2-20,(21,22)21-22)1-22;
191	((1,((2,3,(4,((5,6)5-6,7,(8,9)8-9)5-9,10)4-10)2-10,11)2-11)1-11,((12,(13,(14,15)14-15,(16,17)16-17,((18,19,20)18-20,21)18-21)13-21)12-21,22)12-22)1-22;
192	((((1,(2,(3,(((4,5)4-5,(6,(7,8)7-8,9)6-9)4-9,10,11)4-11)3-11)2-11)1-11,(12,13,14)12-14)1-14,15)1-15,16,17,18,(19,20)19-20,21,22)1-22;
193	((1,((2,((3,(4,5,6)4-6)3-6,7)3-7)2-7,8,9)2-9)1-9,10,((11,12)11-12,((13,((14,15)14-15,16)14-16)13-16,17)13-17,18,19)11-19,(20,21,22)20-22)1-22;
194	((((1,((2,3,(4,(5,6,7)5-7)4-7)2-7,(8,((9,10)9-10,11)9-11)8-11)2-11,12)1-12,13,((14,15)14-15,16)14-16)1-16,17)1-17,(18,(19,(20,21)20-21)19-21,22)18-22)1-22;
195	(1,(2,(3,((4,5)4-5,6,(((7,((8,9)8-9,((10,(11,(12,(13,14,15)13-15)12-15)11-15)10-15,16)10-16)8-16)7-16,(17,18)17-18)7-18,19,20,21)7-21)4-21)3-21,22)2-22)1-22;
196	(((1,2)1-2,((3,4)3-4,(5,6)5-6)3-6,7,((8,(9,10)9-10)8-10,(11,12)11-12,(((13,(14,15)14-15)13-15,(16,17)16-17)13-17,(18,19,20)18-20)13-20,21)8-21)1-21,22)1-22;
197	(1,((2,(3,4)3-4,(5,6)5-6)2-6,7,(8,((9,(10,11)10-11,12)9-12,13)9-13,(14,((15,((16,17)16-17,18)16-18,((19,20)19-20,21)19-21)15-21,22)15-22)14-22)8-22)2-22)1-22;
198	(1,(2,3,(((4,((5,6)5-6,((7,8)7-8,9)7-9)5-9,((10,11,12)10-12,13,(14,15,16)14-16,17)10-17)4-17,(18,19)18-19)4-19,20)4-20)2-20,21,22)1-22;
199	(((1,(2,3)2-3)1-3,(4,(5,6,7,(8,9,10,(11,12,(13,14,(((15,16)15-16,17,18)15-18,19)15-19)13-19)11-19,20)8-20)5-20)4-20,21)1-21,22)1-22;
200	(((1,2)1-2,((3,((4,5)4-5,6,7,(8,9)8-9)4-9)3-9,(10,(((((11,(12,13)12-13)11-13,14,15)11-15,16,17)11-17,18)11-18,19)11-19,20)10-20,21)3-21)1-21,22)1-22;
